T(C), P(bar), X, Phase Index, Phase Region, Bulk density(kg/m3), Liquid density(kg/m3), Vapour density(kg/m3), Halite density(kg/m3), Bulk enthalpy(kJ/kg), Liquid enthalpy(kJ/kg), Vapour enthalpy(kJ/kg), Halite enthalpy(kJ/kg), Liquid Saturation, Vapour Saturation, Halite Saturation, Liquid viscosity, Vapour viscosity, Liquid salinity, Vapour salinity
1.00948, 399, 0.032, 0, Single phase(Liquid), 1041.35, 1041.35, 0, 0, 46.7996, 46.7996, 0, 0, 1, 0, 0, 0.00179106, 0, 0.032, 0
1.26345, 399, 0.032, 0, Single phase(Liquid), 1041.32, 1041.32, 0, 0, 47.7996, 47.7996, 0, 0, 1, 0, 0, 0.00177718, 0, 0.032, 0
1.51743, 399, 0.032, 0, Single phase(Liquid), 1041.28, 1041.28, 0, 0, 48.7995, 48.7995, 0, 0, 1, 0, 0, 0.00176346, 0, 0.032, 0
1.77142, 399, 0.032, 0, Single phase(Liquid), 1041.24, 1041.24, 0, 0, 49.7994, 49.7994, 0, 0, 1, 0, 0, 0.00174989, 0, 0.032, 0
2.02541, 399, 0.032, 0, Single phase(Liquid), 1041.2, 1041.2, 0, 0, 50.7993, 50.7993, 0, 0, 1, 0, 0, 0.00173648, 0, 0.032, 0
2.27941, 399, 0.032, 0, Single phase(Liquid), 1041.15, 1041.15, 0, 0, 51.7992, 51.7992, 0, 0, 1, 0, 0, 0.00172323, 0, 0.032, 0
2.53341, 399, 0.032, 0, Single phase(Liquid), 1041.11, 1041.11, 0, 0, 52.7991, 52.7991, 0, 0, 1, 0, 0, 0.00171013, 0, 0.032, 0
2.78742, 399, 0.032, 0, Single phase(Liquid), 1041.07, 1041.07, 0, 0, 53.799, 53.799, 0, 0, 1, 0, 0, 0.00169718, 0, 0.032, 0
...
13.9466, 399, 0.032, 0, Single phase(Liquid), 1038.67, 1038.67, 0, 0, 97.7957, 97.7957, 0, 0, 1, 0, 0, 0.00125143, 0, 0.032, 0
14.1997, 399, 0.032, 0, Single phase(Liquid), 1038.61, 1038.61, 0, 0, 98.7957, 98.7957, 0, 0, 1, 0, 0, 0.00124356, 0, 0.032, 0
14.4526, 399, 0.032, 0, Single phase(Liquid), 1038.54, 1038.54, 0, 0, 99.7956, 99.7956, 0, 0, 1, 0, 0, 0.00123577, 0, 0.032, 0
