T(C), P(bar), X, Phase Index, Phase Region, Bulk density(kg/m3), Liquid density(kg/m3), Vapour density(kg/m3), Halite density(kg/m3), Bulk enthalpy(kJ/kg), Liquid enthalpy(kJ/kg), Vapour enthalpy(kJ/kg), Halite enthalpy(kJ/kg), Liquid Saturation, Vapour Saturation, Halite Saturation, Liquid viscosity, Vapour viscosity, Liquid salinity, Vapour salinity
100, 399, 0, 0, Single phase(Liquid), 976.076, 976.076, 0, 0, 449.16, 449.16, 0, 0, 1, 0, 0, 0.00029246, 0, 0, 0
100, 399, 0.001, 0, Single phase(Liquid), 976.729, 976.729, 0, 0, 448.896, 448.896, 0, 0, 1, 0, 0, 0.00029413, 0, 0.001, 0
100, 399, 0.002, 0, Single phase(Liquid), 977.382, 977.382, 0, 0, 448.632, 448.632, 0, 0, 1, 0, 0, 0.00029538, 0, 0.002, 0
100, 399, 0.003, 0, Single phase(Liquid), 978.036, 978.036, 0, 0, 448.369, 448.369, 0, 0, 1, 0, 0, 0.000296513, 0, 0.003, 0
...
100, 399, 0.994, 3, Liquid + Halite, 2133.81, 1182.84, 0, 2148.37, 109.823, 391.953, 0, 107.446, 0.0150758, 0, 0.984924, 0.000564111, 0, 0.282037, 0
100, 399, 0.995, 3, Liquid + Halite, 2136.23, 1182.84, 0, 2148.37, 109.427, 391.953, 0, 107.446, 0.0125774, 0, 0.987423, 0.000564111, 0, 0.282037, 0
100, 399, 0.996, 3, Liquid + Halite, 2138.64, 1182.84, 0, 2148.37, 109.031, 391.953, 0, 107.446, 0.0100733, 0, 0.989927, 0.000564111, 0, 0.282037, 0
100, 399, 0.997, 3, Liquid + Halite, 2141.07, 1182.84, 0, 2148.37, 108.634, 391.953, 0, 107.446, 0.00756352, 0, 0.992436, 0.000564111, 0, 0.282037, 0
100, 399, 0.998, 3, Liquid + Halite, 2143.5, 1182.84, 0, 2148.37, 108.238, 391.953, 0, 107.446, 0.00504806, 0, 0.994952, 0.000564111, 0, 0.282037, 0
100, 399, 0.999, 3, Liquid + Halite, 2145.93, 1182.84, 0, 2148.37, 107.842, 391.953, 0, 107.446, 0.0025269, 0, 0.997473, 0.000564111, 0, 0.282037, 0
