T(C), P(bar), X, Phase Index, Phase Region, Bulk density(kg/m3), Liquid density(kg/m3), Vapour density(kg/m3), Halite density(kg/m3), Bulk enthalpy(kJ/kg), Liquid enthalpy(kJ/kg), Vapour enthalpy(kJ/kg), Halite enthalpy(kJ/kg), Liquid Saturation, Vapour Saturation, Halite Saturation, Liquid viscosity, Vapour viscosity, Liquid salinity, Vapour salinity
9.99903, 316, 0.032, 0, Single phase(Liquid), 1036.03, 1036.03, 0, 0, 74.2976, 74.2976, 0, 0, 1, 0, 0, 0.00139268, 0, 0.032, 0
10.999, 316, 0.032, 0, Single phase(Liquid), 1035.81, 1035.81, 0, 0, 78.2653, 78.2653, 0, 0, 1, 0, 0, 0.00135606, 0, 0.032, 0
11.9989, 316, 0.032, 0, Single phase(Liquid), 1035.59, 1035.59, 0, 0, 82.2344, 82.2344, 0, 0, 1, 0, 0, 0.00132095, 0, 0.032, 0
12.9988, 316, 0.032, 0, Single phase(Liquid), 1035.35, 1035.35, 0, 0, 86.2051, 86.2051, 0, 0, 1, 0, 0, 0.00128727, 0, 0.032, 0
13.9988, 316, 0.032, 0, Single phase(Liquid), 1035.11, 1035.11, 0, 0, 90.1772, 90.1772, 0, 0, 1, 0, 0, 0.00125495, 0, 0.032, 0
14.9987, 316, 0.032, 0, Single phase(Liquid), 1034.86, 1034.86, 0, 0, 94.1509, 94.1509, 0, 0, 1, 0, 0, 0.0012239, 0, 0.032, 0
15.9986, 316, 0.032, 0, Single phase(Liquid), 1034.61, 1034.61, 0, 0, 98.1262, 98.1262, 0, 0, 1, 0, 0, 0.00119406, 0, 0.032, 0
16.9987, 316, 0.032, 0, Single phase(Liquid), 1034.34, 1034.34, 0, 0, 102.103, 102.103, 0, 0, 1, 0, 0, 0.00116537, 0, 0.032, 0
17.9985, 316, 0.032, 0, Single phase(Liquid), 1034.07, 1034.07, 0, 0, 106.081, 106.081, 0, 0, 1, 0, 0, 0.00113777, 0, 0.032, 0
18.9985, 316, 0.032, 0, Single phase(Liquid), 1033.79, 1033.79, 0, 0, 110.061, 110.061, 0, 0, 1, 0, 0, 0.00111121, 0, 0.032, 0
19.9986, 316, 0.032, 0, Single phase(Liquid), 1033.51, 1033.51, 0, 0, 114.043, 114.043, 0, 0, 1, 0, 0, 0.00108562, 0, 0.032, 0
20.9984, 316, 0.032, 0, Single phase(Liquid), 1033.21, 1033.21, 0, 0, 118.025, 118.025, 0, 0, 1, 0, 0, 0.00106097, 0, 0.032, 0
21.9985, 316, 0.032, 0, Single phase(Liquid), 1032.91, 1032.91, 0, 0, 122.01, 122.01, 0, 0, 1, 0, 0, 0.00103721, 0, 0.032, 0
22.9984, 316, 0.032, 0, Single phase(Liquid), 1032.61, 1032.61, 0, 0, 125.995, 125.995, 0, 0, 1, 0, 0, 0.00101429, 0, 0.032, 0
22.9984, 316, 0.032, 0, Single phase(Liquid), 1032.61, 1032.61, 0, 0, 125.995, 125.995, 0, 0, 1, 0, 0, 0.00101429, 0, 0.032, 0
22.9984, 316, 0.032, 0, Single phase(Liquid), 1032.61, 1032.61, 0, 0, 125.995, 125.995, 0, 0, 1, 0, 0, 0.00101429, 0, 0.032, 0
