T(C), P(bar), X, Phase Index, Phase Region, Bulk density(kg/m3), Liquid density(kg/m3), Vapour density(kg/m3), Halite density(kg/m3), Bulk enthalpy(kJ/kg), Liquid enthalpy(kJ/kg), Vapour enthalpy(kJ/kg), Halite enthalpy(kJ/kg), Liquid Saturation, Vapour Saturation, Halite Saturation, Liquid viscosity, Vapour viscosity, Liquid salinity, Vapour salinity
10, 316, 0.032, 0, Single phase(Liquid), 1036.03, 1036.03, 0, 0, 74.3015, 74.3015, 0, 0, 1, 0, 0, 0.00139265, 0, 0.032, 0
11, 316, 0.032, 0, Single phase(Liquid), 1035.81, 1035.81, 0, 0, 78.2695, 78.2695, 0, 0, 1, 0, 0, 0.00135602, 0, 0.032, 0
12, 316, 0.032, 0, Single phase(Liquid), 1035.59, 1035.59, 0, 0, 82.2389, 82.2389, 0, 0, 1, 0, 0, 0.00132091, 0, 0.032, 0
13, 316, 0.032, 0, Single phase(Liquid), 1035.35, 1035.35, 0, 0, 86.2098, 86.2098, 0, 0, 1, 0, 0, 0.00128723, 0, 0.032, 0
14, 316, 0.032, 0, Single phase(Liquid), 1035.11, 1035.11, 0, 0, 90.1822, 90.1822, 0, 0, 1, 0, 0, 0.00125491, 0, 0.032, 0
15, 316, 0.032, 0, Single phase(Liquid), 1034.86, 1034.86, 0, 0, 94.1561, 94.1561, 0, 0, 1, 0, 0, 0.00122386, 0, 0.032, 0
16, 316, 0.032, 0, Single phase(Liquid), 1034.61, 1034.61, 0, 0, 98.1316, 98.1316, 0, 0, 1, 0, 0, 0.00119402, 0, 0.032, 0
17, 316, 0.032, 0, Single phase(Liquid), 1034.34, 1034.34, 0, 0, 102.109, 102.109, 0, 0, 1, 0, 0, 0.00116533, 0, 0.032, 0
18, 316, 0.032, 0, Single phase(Liquid), 1034.07, 1034.07, 0, 0, 106.087, 106.087, 0, 0, 1, 0, 0, 0.00113773, 0, 0.032, 0
19, 316, 0.032, 0, Single phase(Liquid), 1033.79, 1033.79, 0, 0, 110.067, 110.067, 0, 0, 1, 0, 0, 0.00111117, 0, 0.032, 0
20, 316, 0.032, 0, Single phase(Liquid), 1033.51, 1033.51, 0, 0, 114.049, 114.049, 0, 0, 1, 0, 0, 0.00108558, 0, 0.032, 0
21, 316, 0.032, 0, Single phase(Liquid), 1033.21, 1033.21, 0, 0, 118.031, 118.031, 0, 0, 1, 0, 0, 0.00106093, 0, 0.032, 0
22, 316, 0.032, 0, Single phase(Liquid), 1032.91, 1032.91, 0, 0, 122.016, 122.016, 0, 0, 1, 0, 0, 0.00103717, 0, 0.032, 0
23, 316, 0.032, 0, Single phase(Liquid), 1032.61, 1032.61, 0, 0, 126.001, 126.001, 0, 0, 1, 0, 0, 0.00101425, 0, 0.032, 0
23, 316, 0.032, 0, Single phase(Liquid), 1032.61, 1032.61, 0, 0, 126.001, 126.001, 0, 0, 1, 0, 0, 0.00101425, 0, 0.032, 0
